timestamp,total_ms,conv_ms,dc_ms,fc_ms,pool_ms,add_ms,mul_ms
2026-05-26 14:28:30,350,323,26,0,0,0,0
2026-05-26 14:28:30,351,323,27,0,0,0,0
2026-05-26 14:28:30,351,323,27,0,0,0,0
2026-05-26 14:28:31,351,323,26,0,0,0,0
2026-05-26 14:28:31,350,323,26,0,0,0,0
2026-05-26 14:28:31,349,322,26,0,0,0,0
2026-05-26 14:28:32,351,323,26,0,0,0,0
2026-05-26 14:28:32,350,322,27,0,0,0,0
2026-05-26 14:28:32,352,323,27,0,0,0,0
2026-05-26 14:28:33,352,324,26,0,0,0,0
2026-05-26 14:28:33,350,323,26,0,0,0,0
2026-05-26 14:28:33,352,324,26,0,0,0,0
2026-05-26 14:28:34,351,323,27,0,0,0,0
2026-05-26 14:28:34,352,323,27,0,0,0,0
2026-05-26 14:28:35,352,323,27,0,0,0,0
2026-05-26 14:28:35,351,323,26,0,0,0,0
2026-05-26 14:28:35,351,323,26,0,0,0,0
2026-05-26 14:28:36,351,323,27,0,0,0,0
2026-05-26 14:28:36,350,322,27,0,0,0,0
2026-05-26 14:28:36,351,324,26,0,0,0,0
2026-05-26 14:28:37,351,323,27,0,0,0,0
2026-05-26 14:28:37,351,324,26,0,0,0,0
2026-05-26 14:28:37,351,323,27,0,0,0,0
2026-05-26 14:28:38,352,324,26,0,0,0,0
2026-05-26 14:28:38,352,324,27,0,0,0,0
2026-05-26 14:28:39,352,325,26,0,0,0,0
2026-05-26 14:28:39,351,324,26,0,0,0,0
2026-05-26 14:28:39,351,323,26,0,0,0,0
2026-05-26 14:28:40,351,323,27,0,0,0,0
2026-05-26 14:28:40,350,323,26,0,0,0,0
2026-05-26 14:28:40,352,323,28,0,0,0,0
2026-05-26 14:28:41,351,323,27,0,0,0,0
2026-05-26 14:28:41,351,324,26,0,0,0,0
2026-05-26 14:28:41,351,323,26,0,0,0,0
2026-05-26 14:28:42,351,323,26,0,0,0,0
2026-05-26 14:28:42,350,322,27,0,0,0,0
2026-05-26 14:28:42,351,323,26,0,0,0,0
2026-05-26 14:28:43,350,322,27,0,0,0,0
2026-05-26 14:28:43,351,324,26,0,0,0,0
2026-05-26 14:28:44,350,322,27,0,0,0,0
2026-05-26 14:28:44,351,324,26,0,0,0,0
2026-05-26 14:28:44,351,323,27,0,0,0,0
2026-05-26 14:28:45,351,324,26,0,0,0,0
2026-05-26 14:28:45,353,325,27,0,0,0,0
2026-05-26 14:28:45,350,323,26,0,0,0,0
2026-05-26 14:28:46,352,323,28,0,0,0,0
2026-05-26 14:28:46,351,323,26,0,0,0,0
2026-05-26 14:28:46,352,324,27,0,0,0,0
2026-05-26 14:28:47,350,322,27,0,0,0,0
2026-05-26 14:28:47,351,324,27,0,0,0,0
2026-05-26 14:28:48,351,323,27,0,0,0,0
2026-05-26 14:28:48,353,325,27,0,0,0,0
2026-05-26 14:28:48,351,323,26,0,0,0,0
2026-05-26 14:28:49,351,324,26,0,0,0,0
2026-05-26 14:28:49,352,323,27,0,0,0,0
2026-05-26 14:28:49,351,323,26,0,0,0,0
2026-05-26 14:28:50,352,324,27,0,0,0,0
2026-05-26 14:28:51,350,323,26,0,0,0,0
2026-05-26 14:28:51,351,323,27,0,0,0,0
2026-05-26 14:28:51,350,323,26,0,0,0,0
2026-05-26 14:28:51,351,323,26,0,0,0,0
2026-05-26 14:28:52,352,324,27,0,0,0,0
2026-05-26 14:28:52,352,324,27,0,0,0,0
2026-05-26 14:28:52,353,325,27,0,0,0,0
2026-05-26 14:28:53,352,324,26,0,0,0,0
2026-05-26 14:28:53,351,324,27,0,0,0,0
2026-05-26 14:28:53,352,324,26,0,0,0,0
2026-05-26 14:28:54,350,322,26,0,0,0,0
2026-05-26 14:28:54,352,324,26,0,0,0,0
2026-05-26 14:28:54,352,324,27,0,0,0,0
2026-05-26 14:28:55,350,323,26,0,0,0,0
2026-05-26 14:28:55,351,324,26,0,0,0,0
2026-05-26 14:28:56,351,323,26,0,0,0,0
2026-05-26 14:28:56,352,324,27,0,0,0,0
2026-05-26 14:28:56,351,324,26,0,0,0,0
2026-05-26 14:28:57,352,324,27,0,0,0,0
2026-05-26 14:28:57,350,323,26,0,0,0,0
2026-05-26 14:28:57,352,324,27,0,0,0,0
2026-05-26 14:28:58,350,322,26,0,0,0,0
2026-05-26 14:28:58,353,324,27,0,0,0,0
2026-05-26 14:28:58,352,324,27,0,0,0,0
2026-05-26 14:28:59,352,324,26,0,0,0,0
2026-05-26 14:28:59,352,324,27,0,0,0,0
2026-05-26 14:29:00,351,323,26,0,0,0,0
2026-05-26 14:29:00,352,323,27,0,0,0,0
2026-05-26 14:29:00,351,324,26,0,0,0,0
2026-05-26 14:29:01,352,324,27,0,0,0,0
2026-05-26 14:29:01,350,323,26,0,0,0,0
2026-05-26 14:29:01,352,324,27,0,0,0,0
2026-05-26 14:29:02,350,323,26,0,0,0,0
2026-05-26 14:29:02,352,323,27,0,0,0,0
2026-05-26 14:29:02,351,323,26,0,0,0,0
2026-05-26 14:29:03,351,323,27,0,0,0,0
2026-05-26 14:29:03,350,323,26,0,0,0,0
2026-05-26 14:29:04,352,324,27,0,0,0,0
2026-05-26 14:29:04,351,324,26,0,0,0,0
2026-05-26 14:29:04,352,324,27,0,0,0,0
2026-05-26 14:29:05,350,323,26,0,0,0,0
2026-05-26 14:29:05,351,323,27,0,0,0,0
2026-05-26 14:29:05,351,323,27,0,0,0,0
2026-05-26 14:29:06,352,324,27,0,0,0,0
2026-05-26 14:29:06,351,324,26,0,0,0,0
2026-05-26 14:29:06,352,324,26,0,0,0,0
2026-05-26 14:29:07,351,323,27,0,0,0,0
2026-05-26 14:29:07,350,323,26,0,0,0,0
2026-05-26 14:29:08,352,324,27,0,0,0,0
2026-05-26 14:29:08,351,324,26,0,0,0,0
2026-05-26 14:29:08,354,326,27,0,0,0,0
2026-05-26 14:29:09,351,324,26,0,0,0,0
2026-05-26 14:29:09,351,323,27,0,0,0,0
2026-05-26 14:29:09,352,324,26,0,0,0,0
2026-05-26 14:29:10,352,324,27,0,0,0,0
2026-05-26 14:29:10,351,323,27,0,0,0,0
2026-05-26 14:29:10,352,324,27,0,0,0,0
2026-05-26 14:29:11,351,324,26,0,0,0,0
2026-05-26 14:29:11,351,323,27,0,0,0,0
2026-05-26 14:29:11,352,324,27,0,0,0,0
2026-05-26 14:29:12,350,322,26,0,0,0,0
2026-05-26 14:29:12,351,324,26,0,0,0,0
2026-05-26 14:29:13,351,323,26,0,0,0,0
2026-05-26 14:29:13,350,322,26,0,0,0,0
2026-05-26 14:29:13,351,323,27,0,0,0,0
2026-05-26 14:29:14,351,324,26,0,0,0,0
2026-05-26 14:29:14,351,323,27,0,0,0,0
2026-05-26 14:29:14,353,325,27,0,0,0,0
2026-05-26 14:29:15,350,322,26,0,0,0,0
2026-05-26 14:29:15,353,324,27,0,0,0,0
2026-05-26 14:29:15,352,325,26,0,0,0,0
2026-05-26 14:29:16,351,322,27,0,0,0,0
2026-05-26 14:29:16,352,324,27,0,0,0,0
2026-05-26 14:29:17,352,324,27,0,0,0,0
2026-05-26 14:29:17,351,324,26,0,0,0,0
2026-05-26 14:29:17,351,322,27,0,0,0,0
2026-05-26 14:29:18,352,323,27,0,0,0,0
2026-05-26 14:29:18,350,322,27,0,0,0,0
2026-05-26 14:29:18,352,324,27,0,0,0,0
2026-05-26 14:29:19,352,324,26,0,0,0,0
2026-05-26 14:29:19,350,323,26,0,0,0,0
2026-05-26 14:29:19,351,323,27,0,0,0,0
2026-05-26 14:29:20,351,323,26,0,0,0,0
2026-05-26 14:29:20,353,324,27,0,0,0,0
2026-05-26 14:29:21,352,324,27,0,0,0,0
2026-05-26 14:29:21,351,324,26,0,0,0,0
2026-05-26 14:29:21,350,322,27,0,0,0,0
2026-05-26 14:29:22,351,323,26,0,0,0,0
2026-05-26 14:29:22,349,321,27,0,0,0,0
2026-05-26 14:29:22,353,325,27,0,0,0,0
2026-05-26 14:29:23,352,324,26,0,0,0,0
2026-05-26 14:29:23,350,322,26,0,0,0,0
2026-05-26 14:29:23,352,324,27,0,0,0,0
2026-05-26 14:29:24,350,323,26,0,0,0,0
2026-05-26 14:29:24,351,322,27,0,0,0,0
2026-05-26 14:29:24,351,323,27,0,0,0,0
2026-05-26 14:29:25,349,322,26,0,0,0,0
2026-05-26 14:29:25,350,323,26,0,0,0,0
2026-05-26 14:29:26,352,323,28,0,0,0,0
2026-05-26 14:29:26,350,323,26,0,0,0,0
2026-05-26 14:29:26,352,324,27,0,0,0,0
2026-05-26 14:29:27,351,323,26,0,0,0,0
2026-05-26 14:29:27,350,323,26,0,0,0,0
2026-05-26 14:29:27,353,323,27,0,0,0,0
2026-05-26 14:29:28,350,323,26,0,0,0,0
2026-05-26 14:29:28,350,322,27,0,0,0,0
2026-05-26 14:29:28,351,323,27,0,0,0,0
2026-05-26 14:29:29,350,322,26,0,0,0,0
2026-05-26 14:29:29,350,322,26,0,0,0,0
