timestamp,invoke_ms,raw_pct,filtered_pct
2026-06-02 12:38:37,1923,100,100
2026-06-02 12:38:39,1920,100,100
2026-06-02 12:38:41,1919,100,100
2026-06-02 12:38:43,1921,100,100
2026-06-02 12:38:45,1919,100,100
2026-06-02 12:38:47,1919,100,100
2026-06-02 12:38:49,1919,93,93
2026-06-02 12:38:51,1919,100,100
2026-06-02 12:38:53,1919,100,100
2026-06-02 12:38:55,1919,100,100
2026-06-02 12:38:57,1919,100,100
2026-06-02 12:38:59,1919,100,100
2026-06-02 12:39:01,1919,100,100
2026-06-02 12:39:02,1919,100,100
2026-06-02 12:39:05,1919,100,100
2026-06-02 12:39:06,1921,100,100
2026-06-02 12:39:08,1920,100,100
2026-06-02 12:39:10,1919,100,100
2026-06-02 12:39:12,1919,98,98
2026-06-02 12:39:14,1919,93,93
2026-06-02 12:39:16,1919,99,99
2026-06-02 12:39:18,1921,99,99
2026-06-02 12:39:20,1920,100,100
2026-06-02 12:39:22,1919,99,99
2026-06-02 12:39:24,1919,94,94
2026-06-02 12:39:26,1919,99,99
2026-06-02 12:39:28,1919,99,99
2026-06-02 12:39:30,1920,100,100
2026-06-02 12:39:32,1920,0,0
2026-06-02 12:39:34,1919,0,0
2026-06-02 12:39:36,1919,0,0
2026-06-02 12:39:37,1921,0,0
2026-06-02 12:39:39,1919,5,5
2026-06-02 12:39:41,1920,11,11
2026-06-02 12:39:43,1919,2,2
2026-06-02 12:39:45,1920,1,1
2026-06-02 12:39:47,1919,27,27
2026-06-02 12:39:49,1919,2,2
2026-06-02 12:39:51,1920,29,29
2026-06-02 12:39:53,1919,19,19
2026-06-02 12:39:55,1919,77,77
2026-06-02 12:39:57,1920,66,66
2026-06-02 12:39:59,1920,36,36
2026-06-02 12:40:01,1919,84,84
2026-06-02 12:40:03,1919,27,27
2026-06-02 12:40:05,1919,27,27
2026-06-02 12:40:06,1919,87,87
2026-06-02 12:40:08,1920,69,69
2026-06-02 12:40:10,1919,93,93
2026-06-02 12:40:12,1919,99,99
2026-06-02 12:40:14,1919,96,96
2026-06-02 12:40:16,1919,100,100
2026-06-02 12:40:18,1919,9,9
2026-06-02 12:40:20,1919,7,7
2026-06-02 12:40:22,1919,3,3
2026-06-02 12:40:24,1919,9,9
2026-06-02 12:40:26,1919,8,8
2026-06-02 12:40:28,1919,10,10
2026-06-02 12:40:30,1919,14,14
2026-06-02 12:40:32,1919,21,21
2026-06-02 12:40:34,1919,17,17
2026-06-02 12:40:36,1919,12,12
2026-06-02 12:40:38,1919,64,64
2026-06-02 12:40:40,1920,58,58
2026-06-02 12:40:41,1919,25,25
2026-06-02 12:40:43,1919,53,53
2026-06-02 12:40:45,1919,2,2
2026-06-02 12:40:47,1919,31,31
2026-06-02 12:40:49,1920,27,27
2026-06-02 12:40:51,1919,64,64
2026-06-02 12:40:53,1919,90,90
2026-06-02 12:40:55,1921,93,93
2026-06-02 12:40:57,1919,16,16
2026-06-02 12:40:59,1919,53,53
2026-06-02 12:41:01,1919,36,36
2026-06-02 12:41:03,1919,21,21
2026-06-02 12:41:05,1919,17,17
2026-06-02 12:41:07,1919,29,29
2026-06-02 12:41:09,1919,27,27
2026-06-02 12:41:11,1919,50,50
2026-06-02 12:41:13,1919,12,12
2026-06-02 12:41:14,1919,73,73
2026-06-02 12:41:16,1920,61,61
2026-06-02 12:41:18,1919,95,95
2026-06-02 12:41:20,1919,91,91
2026-06-02 12:41:22,1919,77,77
2026-06-02 12:41:24,1919,61,61
2026-06-02 12:41:26,1919,34,34
2026-06-02 12:41:28,1919,88,88
2026-06-02 12:41:30,1921,81,81
2026-06-02 12:41:32,1920,93,93
2026-06-02 12:41:34,1919,98,98
2026-06-02 12:41:36,1919,100,100
2026-06-02 12:41:38,1919,50,50
2026-06-02 12:41:40,1921,73,73
2026-06-02 12:41:42,1920,89,89
